,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,train_time,train_time_per_sample,train_start_time,train_end_time,train_device,predict_time,predict_time_per_sample,predict_start_time,predict_end_time,predict_device,accuracy,log_loss,data.drop,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.drop,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.algorithm,Condensing Method,model.init.distance_matrix,model.init.k,Condensing Ratio,Metric,model.init.name,Symmetric,model.init.weights,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers
b63427282a1c0660a6321496c93c1fe4,train,deckard.base.experiment.Experiment,b63427282a1c0660a6321496c93c1fe4,DDoS,cpu,b63427282a1c0660a6321496c93c1fe4,b63427282a1c0660a6321496c93c1fe4,k-KNN,b63427282a1c0660a6321496c93c1fe4,b63427282a1c0660a6321496c93c1fe4,1.34590911,0.00134590911,1724191018.1691346,1724191019.482142,cpu,40.93244454,0.10233111135,1724191019.4822314,1724191057.1889703,cpu,0.97,1.0361872797702274,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,b63427282a1c0660a6321496c93c1fe4,predictions.json,reports/condense/knn/gzip/0.1/symmetry_false/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,brute,Hardness,ddos/models/knn/gzip/symmetry_false/1000-400-0.npz,1,0.1,GZIP,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
a6bd7f0d3de67b31e6e43f00c5578732,train,deckard.base.experiment.Experiment,a6bd7f0d3de67b31e6e43f00c5578732,DDoS,cpu,a6bd7f0d3de67b31e6e43f00c5578732,a6bd7f0d3de67b31e6e43f00c5578732,k-KNN,a6bd7f0d3de67b31e6e43f00c5578732,a6bd7f0d3de67b31e6e43f00c5578732,1.38282911,0.00138282911,1724187012.800858,1724187014.1496887,cpu,165.53049043,0.413826226075,1724187014.1497972,1724187164.3262763,cpu,0.9875,0.4317446999042618,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,a6bd7f0d3de67b31e6e43f00c5578732,predictions.json,reports/condense/knn/gzip/0.8/symmetry_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,brute,Hardness,ddos/models/knn/gzip/symmetry_true/1000-400-0.npz,1,0.8,GZIP,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
6c6c8812bd5874c852bcfd9b995d59fd,train,deckard.base.experiment.Experiment,6c6c8812bd5874c852bcfd9b995d59fd,DDoS,cpu,6c6c8812bd5874c852bcfd9b995d59fd,6c6c8812bd5874c852bcfd9b995d59fd,k-KNN,6c6c8812bd5874c852bcfd9b995d59fd,6c6c8812bd5874c852bcfd9b995d59fd,1.39709953,0.00139709953,1724187172.439849,1724187173.7986383,cpu,166.42798616,0.4160699654,1724187173.7987497,1724187324.594964,cpu,0.9875,0.4317446999042618,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,6c6c8812bd5874c852bcfd9b995d59fd,predictions.json,reports/condense/knn/gzip/0.8/symmetry_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,brute,Hardness,ddos/models/knn/gzip/symmetry_true/1000-400-0.npz,1,0.8,GZIP,gzip_classifier.GzipKNN,Asymmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
087f783f590b6928b6f3b1a5cc8d6818,train,deckard.base.experiment.Experiment,087f783f590b6928b6f3b1a5cc8d6818,DDoS,cpu,087f783f590b6928b6f3b1a5cc8d6818,087f783f590b6928b6f3b1a5cc8d6818,k-KNN,087f783f590b6928b6f3b1a5cc8d6818,087f783f590b6928b6f3b1a5cc8d6818,1.37585554,0.00137585554,1724187446.7638798,1724187448.1065345,cpu,165.92926289,0.414823157225,1724187448.1066475,1724187598.5350356,cpu,0.9875,0.4317446999042618,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,087f783f590b6928b6f3b1a5cc8d6818,predictions.json,reports/condense/knn/gzip/0.8/symmetry_false/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,brute,Hardness,ddos/models/knn/gzip/symmetry_false/1000-400-0.npz,1,0.8,GZIP,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
43ff550cb5c717f60035868f5ec5916e,train,deckard.base.experiment.Experiment,43ff550cb5c717f60035868f5ec5916e,DDoS,cpu,43ff550cb5c717f60035868f5ec5916e,43ff550cb5c717f60035868f5ec5916e,k-KNN,43ff550cb5c717f60035868f5ec5916e,43ff550cb5c717f60035868f5ec5916e,1.39362879,0.00139362879,1724187734.681508,1724187736.0430207,cpu,147.05172374,0.36762930935,1724187736.043125,1724187869.5982554,cpu,0.99,0.3453957599234097,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,43ff550cb5c717f60035868f5ec5916e,predictions.json,reports/condense/knn/gzip/0.7/symmetry_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,brute,Hardness,ddos/models/knn/gzip/symmetry_true/1000-400-0.npz,1,0.7,GZIP,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
e9e992d6a9b4ccd4e43b6bb9b78b4ecb,train,deckard.base.experiment.Experiment,e9e992d6a9b4ccd4e43b6bb9b78b4ecb,DDoS,cpu,e9e992d6a9b4ccd4e43b6bb9b78b4ecb,e9e992d6a9b4ccd4e43b6bb9b78b4ecb,k-KNN,e9e992d6a9b4ccd4e43b6bb9b78b4ecb,e9e992d6a9b4ccd4e43b6bb9b78b4ecb,1.37888209,0.00137888209,1724188005.6567078,1724188007.0030737,cpu,147.5517855,0.36887946375,1724188007.003203,1724188141.082,cpu,0.99,0.3453957599234097,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,e9e992d6a9b4ccd4e43b6bb9b78b4ecb,predictions.json,reports/condense/knn/gzip/0.7/symmetry_false/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,brute,Hardness,ddos/models/knn/gzip/symmetry_false/1000-400-0.npz,1,0.7,GZIP,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
532d12156350e43694c7c6151e762c9e,train,deckard.base.experiment.Experiment,532d12156350e43694c7c6151e762c9e,DDoS,cpu,532d12156350e43694c7c6151e762c9e,532d12156350e43694c7c6151e762c9e,k-KNN,532d12156350e43694c7c6151e762c9e,532d12156350e43694c7c6151e762c9e,1.37325828,0.00137325828,1724188285.1566722,1724188286.498349,cpu,128.3381484,0.320845371,1724188286.4984424,1724188414.2113748,cpu,0.99,0.3453957599234097,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,532d12156350e43694c7c6151e762c9e,predictions.json,reports/condense/knn/gzip/0.6/symmetry_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,brute,Hardness,ddos/models/knn/gzip/symmetry_true/1000-400-0.npz,1,0.6,GZIP,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
ff8b84e3f64fbe20a50579211767015d,train,deckard.base.experiment.Experiment,ff8b84e3f64fbe20a50579211767015d,DDoS,cpu,ff8b84e3f64fbe20a50579211767015d,ff8b84e3f64fbe20a50579211767015d,k-KNN,ff8b84e3f64fbe20a50579211767015d,ff8b84e3f64fbe20a50579211767015d,1.3862969,0.0013862969,1724188554.2945776,1724188555.6398246,cpu,128.46636995,0.321165924875,1724188555.6399145,1724188672.7947376,cpu,0.99,0.3453957599234097,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,ff8b84e3f64fbe20a50579211767015d,predictions.json,reports/condense/knn/gzip/0.6/symmetry_false/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,brute,Hardness,ddos/models/knn/gzip/symmetry_false/1000-400-0.npz,1,0.6,GZIP,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
7a825b7353ad8254756c08d42362335d,train,deckard.base.experiment.Experiment,7a825b7353ad8254756c08d42362335d,DDoS,cpu,7a825b7353ad8254756c08d42362335d,7a825b7353ad8254756c08d42362335d,k-KNN,7a825b7353ad8254756c08d42362335d,7a825b7353ad8254756c08d42362335d,1.39459346,0.00139459346,1724188806.9242966,1724188808.284672,cpu,109.45556834,0.27363892085,1724188808.2848144,1724188908.5013142,cpu,0.9875,0.4317446999042619,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,7a825b7353ad8254756c08d42362335d,predictions.json,reports/condense/knn/gzip/0.5/symmetry_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,brute,Hardness,ddos/models/knn/gzip/symmetry_true/1000-400-0.npz,1,0.5,GZIP,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
fae986feaf24f1d28d582e021df46b9f,train,deckard.base.experiment.Experiment,fae986feaf24f1d28d582e021df46b9f,DDoS,cpu,fae986feaf24f1d28d582e021df46b9f,fae986feaf24f1d28d582e021df46b9f,k-KNN,fae986feaf24f1d28d582e021df46b9f,fae986feaf24f1d28d582e021df46b9f,0.40573124,0.00040573124,1724189154.5114956,1724189154.8766274,cpu,110.1146357,0.27528658925,1724189154.8767166,1724189255.656181,cpu,0.98,0.6907875218596675,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,fae986feaf24f1d28d582e021df46b9f,predictions.json,reports/condense/knn/gzip/0.5/symmetry_false/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,brute,Sum,ddos/models/knn/gzip/symmetry_false/1000-400-0.npz,1,0.5,GZIP,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
